Rank,NASA,TA,E,A,C,N,O,AC,EC,TC,H,RS,WH,TWR,BF,NP,FA,SR,AP,AR,DWH,DWR,T,DS,FC
3,17,34,4,9,8,3,5,15,15,25,31,1,2,30,1,2,1,1,1,3,2,70,1,2,5
1,36,47,8,9,9,8,9,21,21,21,7,2,2,40,1,1,1,3,2,3,2,70,1,2,4
3,17,42,6,7,9,4,8,19,25,27,42,2,1,30,1,1,1,1,2,3,2,90,2,2,2
3,25,33,7,9,9,6,9,28,18,21,29,1,1,30,1,2,1,2,1,4,2,60,1,2,4
3,19,29,9,6,10,4,9,31,16,33,25,1,2,40,1,3,1,4,2,5,2,100,2,1,4
3,28,48,7,6,9,7,10,16,18,19,23,2,2,60,2,1,5,4,2,3,2,80,1,2,5
3,23,43,3,6,7,8,6,12,23,27,35,2,2,40,1,2,1,3,2,4,2,70,2,2,5
2,22,38,5,9,9,3,6,23,14,32,44,2,2,40,2,1,2,2,2,3,2,60,2,1,3
3,24,43,9,5,10,6,5,22,21,26,35,2,2,50,1,3,1,2,2,2,2,60,1,2,3
1,15,28,6,5,5,3,5,24,7,26,9,1,1,30,1,2,4,3,2,2,1,40,1,2,6
3,19,33,8,10,10,4,6,20,9,33,34,2,2,20,2,2,1,3,2,5,2,0,2,2,4
3,14,49,3,4,10,8,8,9,10,28,46,1,2,30,1,2,1,1,2,4,2,60,1,2,6
2,22,25,2,6,10,5,8,12,11,32,39,2,2,40,2,3,1,2,2,4,2,60,1,2,5
3,20,38,3,7,10,4,8,16,22,29,47,2,2,30,2,1,4,3,2,5,2,40,2,1,6
1,13,34,10,7,9,5,10,9,18,30,30,1,2,70,1,3,2,4,2,3,1,70,2,1,6
3,19,47,4,10,8,7,7,14,21,25,32,2,2,60,1,1,1,2,2,2,2,70,1,1,4
3,16,36,4,9,9,6,4,16,16,31,100,2,2,60,2,1,1,5,1,1,2,80,1,2,6
3,20,41,4,7,8,4,9,19,19,29,14,2,2,50,1,1,6,3,2,3,2,70,2,2,4
1,15,30,5,7,8,2,5,22,14,28,8,2,1,40,1,2,1,1,1,4,2,80,2,1,1
2,22,39,8,9,10,3,7,26,15,31,17,1,2,30,2,1,6,6,2,2,2,50,2,2,6
2,31,59,2,5,6,6,5,16,30,16,3,2,2,50,2,2,1,2,2,5,2,100,2,2,1
3,21,37,6,6,9,6,6,15,9,33,73,1,2,60,1,1,2,6,2,1,2,90,2,1,6
3,29,45,6,9,9,8,7,17,22,34,48,2,2,40,1,2,1,2,2,3,1,50,2,2,4
3,24,49,6,6,7,8,7,22,27,26,26,2,1,60,2,3,1,2,1,2,2,80,1,2,4
2,9,37,4,8,5,4,6,14,14,26,24,2,2,40,2,2,1,2,1,2,2,60,1,2,5
2,28,56,8,6,7,10,9,26,31,27,29,1,2,40,1,3,1,4,2,2,2,60,1,2,6
1,26,55,2,4,10,7,10,10,13,31,11,1,2,40,2,2,1,2,2,5,2,90,2,2,4
2,23,38,7,8,8,5,10,24,20,30,16,2,2,30,2,1,1,3,2,3,2,70,2,2,1
1,24,45,6,9,6,6,6,24,13,26,59,2,2,40,1,1,3,6,2,4,2,50,2,2,6
3,24,32,5,10,10,7,5,25,10,31,60,2,2,20,1,2,1,2,2,5,2,30,2,2,5
1,33,43,8,10,4,6,9,26,25,25,16,2,2,50,1,1,1,4,2,2,2,80,2,2,2
3,26,31,2,6,8,3,8,17,12,30,32,1,2,50,1,1,1,5,2,4,2,70,2,1,5
3,17,39,8,7,9,6,7,26,21,27,198,2,2,30,1,1,3,7,2,1,1,50,2,1,5
2,20,26,7,8,10,3,10,10,15,34,18,2,2,60,2,2,1,1,2,3,2,70,2,1,5
2,19,60,4,8,7,10,8,24,31,17,20,1,1,20,1,1,1,3,1,2,2,80,1,2,2
2,26,42,8,7,6,6,7,24,17,23,39,2,2,40,2,1,1,1,2,4,2,60,2,2,1
2,22,28,3,4,10,3,8,17,10,30,15,2,2,50,1,2,1,2,2,2,2,50,1,2,4
3,29,37,10,7,9,8,8,24,22,28,25,1,2,60,2,2,2,2,2,4,2,90,2,2,5
2,26,55,6,6,6,6,6,21,21,21,16,1,2,60,2,2,1,2,2,4,2,70,1,2,6
2,22,45,5,4,10,6,5,14,16,21,20,1,2,40,2,2,6,4,2,5,2,60,2,2,2
1,30,49,6,7,7,7,6,19,22,26,10,2,2,50,2,2,1,5,2,4,1,30,2,1,4
1,18,41,5,7,10,4,7,15,11,32,15,2,2,70,1,2,1,2,1,5,2,90,1,2,3
2,22,52,8,6,6,8,8,15,26,27,19,1,2,50,1,2,1,1,2,3,2,70,1,2,5
