Rank,NASA,TA,E,A,C,N,O,AC,EC,TC,H,RS,WH,TWR,BF,NP,FA,SR,AP,AR,DWH,DWR,T,DS,FC
3,31,55,8,10,10,10,5,17,24,33,30,2,2,50,2,3,4,3,2,2,2,70,1,2,6
3,22,50,8,8,7,8,8,20,24,26,39,2,2,20,1,1,1,2,2,5,2,60,1,1,2
3,23,44,4,9,6,6,6,20,23,27,27,2,2,30,1,1,1,6,2,1,2,70,2,2,2
3,24,31,8,8,10,3,8,19,10,31,59,2,2,50,2,3,6,5,1,4,1,50,1,1,5
3,28,29,6,8,7,5,9,17,12,28,29,2,2,20,2,1,1,4,2,4,2,60,1,1,5
3,21,30,7,8,9,2,6,18,17,28,32,1,2,40,2,3,1,3,1,2,2,80,1,2,5
3,22,37,9,7,10,4,5,25,18,32,27,1,2,30,1,1,1,4,1,5,2,90,2,2,5
3,35,55,7,9,10,7,9,19,25,32,40,1,2,10,2,1,1,7,2,5,2,90,2,2,5
3,14,60,6,10,7,3,9,19,16,31,47,2,2,40,1,1,1,3,2,2,2,80,2,1,2
2,18,45,10,10,5,6,6,12,26,24,17,2,2,20,1,1,2,4,2,5,2,50,2,2,1
2,17,31,6,6,10,3,10,18,10,32,48,2,2,30,1,1,2,6,2,3,2,80,2,2,3
2,29,52,3,7,10,7,9,19,23,31,28,2,2,20,2,2,1,2,2,5,2,60,2,2,1
1,27,52,10,8,10,9,9,21,26,23,21,1,2,30,2,3,1,1,2,3,2,70,2,2,4
3,22,41,2,6,10,8,10,15,24,26,63,2,1,60,1,1,6,7,2,3,1,60,2,1,6
1,13,39,5,9,6,6,8,18,17,24,29,2,2,60,2,2,1,4,2,3,2,80,2,2,4
3,26,36,8,7,9,5,9,26,19,32,23,1,2,40,2,3,4,3,2,4,2,50,1,1,4
3,25,42,8,8,10,8,9,21,15,34,60,2,2,30,1,1,3,7,2,5,1,30,2,1,3
2,30,49,6,10,10,6,10,20,18,25,12,2,2,30,2,2,1,2,2,4,1,30,1,1,2
3,25,36,3,8,7,5,5,15,19,30,25,1,2,50,1,3,1,3,2,3,2,90,2,2,4
2,30,51,10,9,8,8,3,17,21,20,36,2,2,50,1,2,2,1,2,5,2,70,1,2,1
2,19,45,6,7,7,6,5,21,21,27,30,1,2,40,1,2,2,1,2,2,2,60,1,2,4
3,21,37,8,9,8,6,10,20,14,30,22,1,2,40,2,3,1,1,2,4,2,20,2,2,4
3,29,43,9,8,6,8,7,29,28,25,31,1,2,30,1,1,6,4,2,5,2,50,2,2,1
1,20,49,5,7,7,4,6,25,26,25,25,2,1,10,1,2,1,6,2,2,2,50,1,2,5
1,25,56,8,6,10,10,10,21,28,31,10,1,2,30,2,1,1,6,1,3,2,40,1,2,2
3,18,56,2,4,9,9,6,9,31,33,22,1,2,60,2,3,1,2,2,3,2,90,1,2,6
3,19,37,4,10,5,4,10,10,16,24,50,1,2,40,1,1,2,5,1,1,2,70,2,2,6
1,27,47,4,9,8,3,9,28,27,28,17,2,2,30,1,1,1,4,2,3,2,50,1,2,2
2,27,28,9,7,8,4,8,32,13,27,19,1,2,20,1,3,1,3,2,4,2,60,1,2,5
1,18,48,6,6,8,9,10,12,23,28,15,2,2,30,1,2,1,5,2,5,2,50,2,2,4
2,17,55,3,8,10,4,7,23,24,27,29,2,2,50,1,2,6,1,2,3,2,80,1,2,6
2,23,48,6,7,7,7,7,21,20,25,35,1,2,40,1,2,1,4,2,4,2,80,1,2,4
2,17,57,7,10,7,4,6,17,31,23,36,1,2,40,1,2,1,1,2,4,2,80,1,2,2
2,25,51,3,9,10,10,10,10,34,33,41,1,2,40,1,3,5,2,1,2,2,100,2,1,5
2,22,57,6,7,10,4,8,20,25,28,19,2,2,30,2,1,1,2,2,4,2,40,1,2,3
1,21,46,7,7,10,6,9,14,21,31,15,2,2,50,1,2,1,2,2,4,2,80,1,2,3
1,16,25,6,9,9,2,6,15,10,33,14,2,2,50,2,3,1,1,2,3,2,70,1,1,3
3,40,56,8,7,10,8,2,16,18,30,70,2,2,30,2,3,1,1,1,5,2,50,1,2,6
1,9,30,4,9,9,2,6,14,11,29,21,2,2,60,2,3,1,2,2,4,2,50,2,2,5
3,12,35,6,6,10,7,4,7,15,29,23,1,2,50,2,1,3,2,2,5,2,50,1,2,5
2,27,56,5,6,6,9,7,14,24,23,24,1,2,20,1,3,1,1,2,4,2,50,1,2,5
3,23,42,2,5,10,4,3,20,27,25,26,2,2,50,1,2,2,4,2,5,2,80,2,2,6
2,26,49,3,7,10,8,10,7,25,34,29,2,2,40,2,2,1,1,2,4,2,40,1,2,2
3,25,34,3,10,9,2,8,12,13,34,23,2,2,70,1,3,1,2,2,4,2,90,1,2,6
2,6,36,7,5,9,4,10,11,13,31,12,2,2,60,2,2,1,4,2,1,1,60,2,1,5
1,21,27,8,10,10,4,5,19,9,31,17,1,2,30,1,2,2,4,2,5,2,60,2,1,5
1,27,48,10,6,10,4,7,28,20,31,8,2,2,50,1,2,2,1,2,3,2,70,2,2,1
3,9,47,5,7,10,7,9,15,26,30,12,2,2,30,2,2,1,2,2,3,2,60,2,2,3
3,16,26,6,9,7,2,10,19,7,29,119,2,2,50,1,2,1,4,2,4,2,70,1,1,5
2,8,37,9,6,5,5,6,26,17,28,32,1,1,50,1,3,1,5,1,5,2,90,2,2,5
3,9,36,8,10,9,8,9,16,13,26,58,2,2,20,1,2,1,1,2,2,2,60,2,2,2
1,25,42,4,10,8,6,10,26,29,30,9,2,2,30,1,2,6,6,2,5,2,60,1,2,2
3,21,36,3,7,10,3,10,16,21,33,30,1,2,10,1,1,1,6,2,3,2,40,2,2,6
1,28,64,4,5,7,10,7,19,30,19,15,2,2,40,2,2,4,3,1,4,2,60,2,2,5
3,31,45,10,10,10,6,8,30,19,29,25,2,2,30,2,2,3,3,2,3,2,60,2,2,6
1,22,46,10,5,10,6,10,26,20,28,11,2,2,50,1,3,1,2,2,1,1,60,1,2,6
3,20,30,9,7,10,3,5,24,14,32,43,2,2,40,2,3,1,4,2,4,2,60,2,2,4
3,14,37,8,9,6,3,9,22,13,22,26,2,2,40,1,2,1,2,2,4,2,60,1,2,4
3,21,28,3,9,9,4,7,14,10,31,105,1,2,60,1,3,1,3,2,3,2,70,2,1,5
1,18,52,5,6,10,9,7,17,31,20,16,2,2,20,2,2,1,3,2,2,2,40,2,2,4
3,9,36,5,8,5,3,5,12,8,28,37,1,2,20,1,1,1,4,2,4,2,70,2,1,1
3,21,53,2,6,9,6,9,12,27,26,53,2,2,40,1,1,2,2,2,5,2,40,2,1,4
3,26,41,4,8,6,5,7,17,16,23,94,2,2,40,1,2,2,3,2,3,2,40,2,1,4
1,25,43,3,8,6,5,7,14,22,27,21,1,2,60,1,3,1,1,2,2,1,80,2,2,1
3,28,35,6,10,10,2,5,12,10,31,38,2,2,50,2,3,1,1,2,3,2,70,1,2,6
1,29,59,2,5,9,7,7,19,21,27,32,2,2,10,2,3,6,3,2,2,2,50,1,2,6
2,13,38,5,9,9,5,8,18,14,30,12,2,2,30,2,3,1,1,2,2,2,80,1,1,5
3,26,51,5,5,8,8,7,16,24,27,49,1,2,20,1,2,2,4,2,4,2,70,1,2,3
3,11,53,3,9,4,6,7,14,27,29,21,2,1,10,2,1,1,3,2,5,2,80,1,2,1
3,26,25,4,10,7,2,8,23,14,32,17,1,2,60,2,2,1,1,2,5,2,70,1,1,1
3,13,33,5,5,6,2,6,20,11,26,30,1,2,60,1,1,3,6,2,5,2,90,1,1,6
1,22,40,8,8,10,4,10,25,25,31,16,1,2,40,2,1,1,2,2,3,1,50,2,2,4
2,18,49,2,7,8,8,7,24,26,33,35,2,2,60,2,1,1,5,2,2,2,80,1,2,6
2,17,57,9,6,9,8,5,21,25,23,11,2,2,20,2,1,6,2,2,4,2,50,1,2,1
2,26,57,6,9,8,6,9,19,29,34,14,1,2,50,2,3,1,3,2,4,2,60,1,2,6
3,16,21,8,6,7,2,7,21,8,31,24,1,1,30,1,1,2,4,2,5,1,40,2,1,2
3,14,36,6,10,9,2,10,12,14,29,32,2,2,60,1,1,1,4,2,5,2,20,1,2,6
2,30,67,5,8,7,9,5,7,26,23,46,2,2,60,2,2,1,2,1,5,2,80,1,2,3
2,18,49,7,9,9,8,9,25,26,24,19,2,2,30,2,1,1,2,1,5,2,60,1,2,5
3,21,36,7,7,8,6,9,31,16,27,20,1,2,40,1,3,1,1,1,2,2,80,2,2,3
2,30,37,6,10,10,5,7,20,18,33,45,2,2,60,1,3,1,1,2,4,2,80,1,2,5
3,25,41,4,7,9,6,6,12,13,31,51,2,2,50,2,3,1,2,2,4,2,70,1,2,4
3,24,42,8,7,7,5,7,16,17,26,18,2,2,20,1,1,1,2,2,5,2,60,1,2,1
3,16,27,6,8,10,2,5,24,12,34,35,1,2,40,1,1,1,1,2,3,1,60,1,2,3
3,18,34,4,9,8,3,4,21,16,30,31,1,2,10,1,1,1,4,2,2,2,70,2,2,5
1,18,43,5,10,9,8,8,19,17,26,10,1,2,70,2,3,1,1,2,5,2,30,2,1,1
3,30,35,3,7,10,4,6,17,12,29,30,1,2,60,2,3,4,6,2,4,2,80,1,2,6
1,28,31,8,8,8,2,6,25,12,30,15,2,2,50,1,3,1,1,2,5,2,70,2,2,6
2,27,51,6,8,4,5,7,25,20,28,19,1,2,30,1,3,2,1,2,4,2,50,1,2,5
1,34,61,8,6,8,9,9,17,32,31,20,1,2,70,2,3,1,2,1,3,2,80,1,2,6
2,24,41,10,8,10,5,10,27,12,29,28,1,2,50,2,1,2,1,2,5,2,70,2,2,2
2,21,37,7,6,5,8,10,16,27,31,25,2,2,60,1,1,1,3,2,3,2,80,2,2,4
2,21,23,5,9,10,2,6,14,12,27,19,2,1,60,1,1,1,7,2,4,2,70,2,1,6
3,14,38,4,8,7,6,10,19,25,29,26,1,2,10,2,1,6,1,2,4,2,70,2,2,1
2,25,59,2,6,10,6,10,21,28,29,19,2,2,40,2,3,1,3,2,2,2,60,2,2,2
2,27,40,3,9,8,5,9,23,20,29,19,2,2,40,2,2,2,1,2,2,2,60,1,2,2
3,25,43,8,9,9,7,10,22,23,34,44,2,2,10,2,2,1,1,2,5,2,60,1,2,3
1,34,50,7,10,9,6,8,22,26,23,7,2,2,40,2,2,4,1,2,5,2,90,1,2,2
3,24,25,10,9,10,3,8,16,9,28,24,1,2,30,2,2,1,2,2,4,2,60,1,2,5
2,30,44,8,6,10,4,7,31,13,35,25,1,2,70,2,3,1,2,2,2,2,90,1,2,6
3,31,32,8,10,9,5,10,12,16,32,43,2,2,30,2,3,1,2,2,2,2,60,2,1,6
3,26,39,5,9,7,4,8,21,18,27,12,2,1,40,1,1,1,2,2,4,2,70,2,2,3
3,24,57,4,5,7,6,4,12,28,27,24,1,2,50,2,3,4,5,2,5,2,0,1,2,6
3,28,24,10,9,9,2,7,19,13,32,45,1,2,30,1,3,3,3,2,5,2,30,2,1,5
1,20,33,6,6,6,8,10,26,10,32,10,1,2,50,1,3,1,1,1,1,2,60,2,2,2
3,26,49,6,8,10,7,8,14,22,31,90,1,2,50,2,1,6,6,2,4,2,60,2,2,5
2,19,25,3,10,8,2,9,18,11,33,14,2,2,30,1,1,1,5,2,4,2,50,2,1,6
1,24,39,9,6,7,5,7,20,15,25,3,2,2,50,1,1,2,2,2,3,2,100,1,2,5
1,21,51,6,9,7,5,7,24,25,33,12,1,2,70,1,3,1,1,2,2,2,80,2,2,2
3,23,39,5,9,7,4,8,9,14,28,36,1,2,50,1,1,1,3,2,1,2,60,1,1,5
3,18,27,6,4,10,5,9,21,11,32,29,2,2,40,2,3,2,2,2,3,2,60,2,2,5
1,17,48,7,10,10,4,10,25,17,30,10,1,2,20,1,2,4,3,1,3,2,50,1,2,5
3,15,21,4,8,10,2,10,15,13,33,32,2,1,100,1,1,2,4,2,4,1,100,2,1,2
1,19,59,3,8,9,9,8,16,22,32,7,2,2,30,2,2,1,1,2,2,1,30,1,2,1
2,24,44,4,7,5,8,7,21,16,29,20,1,1,50,1,2,1,1,2,3,2,60,1,2,3
2,26,60,5,7,5,8,9,16,24,21,45,2,2,40,1,2,1,3,2,4,2,60,1,2,4
2,18,42,4,4,10,5,8,17,17,30,32,2,2,40,1,1,1,5,2,2,1,50,2,1,2
3,21,58,3,6,10,3,8,8,26,31,61,1,2,40,2,3,1,2,2,2,2,70,2,2,5
3,23,33,6,10,10,3,7,29,16,33,50,2,2,50,2,2,2,5,2,5,2,90,2,2,6
3,15,41,8,10,7,8,10,8,23,33,52,1,2,60,2,1,2,2,2,5,2,80,2,2,3
2,27,58,7,8,8,9,7,16,26,30,12,2,2,50,1,2,1,1,2,3,2,80,2,1,5
3,11,41,7,8,10,6,6,21,24,23,37,2,2,60,1,2,4,4,2,3,2,70,2,1,5
1,26,47,6,8,10,7,5,20,24,30,14,1,2,40,2,3,1,1,1,2,2,70,1,2,2
2,24,45,2,10,10,6,8,23,24,29,19,2,2,60,1,1,1,3,2,5,2,70,1,2,6
3,16,30,5,9,8,5,8,15,15,24,135,2,2,40,1,3,1,4,2,4,2,60,2,1,5
2,25,40,7,6,8,6,6,21,12,23,16,2,2,50,1,2,1,3,1,1,2,60,1,1,1
1,22,54,3,5,6,7,8,14,16,23,15,2,2,20,1,2,1,1,2,3,2,0,2,2,4
3,19,32,2,9,10,6,8,20,17,31,110,2,2,40,1,2,2,3,2,3,2,70,1,2,4
3,27,37,7,10,10,4,7,21,17,30,65,1,2,70,2,3,2,1,2,5,2,80,2,1,6
2,19,47,5,10,10,6,6,23,23,30,38,2,2,60,2,1,2,1,2,5,2,30,2,2,4
3,18,55,8,7,8,6,10,16,23,28,15,2,2,50,2,2,6,4,1,3,1,50,2,1,4
1,6,47,6,6,6,6,6,7,7,7,4,1,1,0,1,1,1,1,1,1,1,0,1,1,5
2,26,35,4,7,7,5,8,23,14,30,24,2,2,30,1,2,1,4,2,5,1,10,2,1,4
1,20,39,10,10,9,5,6,19,13,24,11,1,2,60,2,3,2,2,2,2,2,90,2,1,4
3,14,30,4,8,7,6,10,13,12,27,69,1,2,30,2,2,2,3,2,5,2,80,1,2,3
2,26,35,6,8,7,6,6,18,19,29,23,2,2,70,1,3,1,1,1,5,2,90,1,1,5
3,17,25,9,9,9,3,8,23,10,28,87,1,1,50,1,2,5,3,1,2,2,70,1,1,5
3,21,36,5,10,10,3,7,17,15,30,10,1,2,50,2,3,1,1,2,1,2,80,1,2,4
1,28,48,6,7,10,4,5,16,14,30,19,2,2,50,2,3,1,1,2,4,2,70,2,1,2
3,28,34,7,10,10,4,9,24,14,33,54,2,2,40,2,1,2,5,2,5,2,80,1,2,5
3,21,48,4,5,8,7,5,26,18,30,28,2,2,20,2,1,1,5,2,2,2,40,2,1,4
3,20,32,8,9,10,3,8,21,12,33,109,2,2,70,2,1,2,6,2,3,1,70,1,1,6
1,30,48,8,10,5,5,7,7,20,22,26,2,2,70,2,2,1,1,2,4,2,80,1,2,2
1,13,34,6,7,8,3,10,16,10,27,25,2,2,40,1,3,1,2,2,5,2,10,1,1,3
2,23,32,5,9,9,4,9,24,15,32,18,2,2,30,2,1,1,2,2,5,1,60,1,1,3
